,General Core,Pollination Core,Ant Core,Dispersal Core
Apis_melifera,1,1,0,0
Lasioglossum_sp1,1,1,0,0
Trigona_nigra,1,1,0,0
Ascia_monuste,1,1,0,0
Euglossa_viridissima,1,1,0,0
Scaptotrigona_pectoralis,1,1,0,0
Ceratina_sp1,1,1,0,0
Danaus_gilipus,1,1,0,0
Sphecidae_sp2,1,1,0,0
Centris_inermis,1,1,0,0
Amazilia_yucatanensis,1,1,0,0
Dryas_julia,0,1,0,0
Phoebis_agarithe,0,1,0,0
Chlorostilbon_canivetti,0,1,0,0
Junona_evarete,0,0,0,0
Urbanus_proteus,0,0,0,0
Agraulis_vanillae,0,0,0,0
Anartia_fatima,0,0,0,0
Epargyreus_aspina,0,0,0,0
Sphecidae_sp4,0,0,0,0
Xylocopa_fimbriata,0,0,0,0
Vespidae_sp1,0,0,0,0
Astraptes_fulgerator,0,0,0,0
Urbanus_sp1,0,0,0,0
Achalarus_jalapus,0,0,0,0
Sphecidae_sp1,0,0,0,0
Augochloropsis_sp1,0,0,0,0
Syrphidae_sp2,0,0,0,0
Syrphidae_sp5,0,0,0,0
Eristalis_sp1,0,0,0,0
Agapostemon_nasutus,0,0,0,0
Mesoplia_regalis,0,0,0,0
Paratetrapedia_moesta,0,0,0,0
Battus_philenor,0,0,0,0
Danaus_eresimus,0,0,0,0
Quasimellana_eulogius,0,0,0,0
Heliconius_charithonia,0,0,0,0
Hemiargus_ceraunus,0,0,0,0
Unknown_sp6,0,0,0,0
Phoebis_sp1,0,0,0,0
Phoebis_sennae,0,0,0,0
Unknown_sp1,0,0,0,0
Augochlora_sp2,0,0,0,0
Syrphidae_sp9,0,0,0,0
Auglochlora_nigrocyanea,0,0,0,0
Pyrgus_communis,0,0,0,0
Hemipenthes_sp1,0,0,0,0
Geron_sp1,0,0,0,0
Phtiria_sp1,0,0,0,0
Syrphidae_sp3,0,0,0,0
Syrphidae_sp6,0,0,0,0
Syrphidae_sp7,0,0,0,0
Lycastrirhyncha_sp1,0,0,0,0
Augochlorella__sp1,0,0,0,0
Calliopsis__sp1,0,0,0,0
Eulaema_polychroma,0,0,0,0
Melissodes_tepaneca,0,0,0,0
Scoliidae_sp1,0,0,0,0
Anartia_jatrophae,0,0,0,0
Astraptes_anaphus,0,0,0,0
Closyne_lacinia,0,0,0,0
Codactractus_sp1,0,0,0,0
Euptoieta_hegesia,0,0,0,0
Melanis_pixe,0,0,0,0
Melete_lycimnia,0,0,0,0
Mimoides_phaon,0,0,0,0
Nisoniades_sp1,0,0,0,0
Papilio_anchisiades,0,0,0,0
Papilo_thoas,0,0,0,0
Phyciodes_tulcis,0,0,0,0
Phocides_polybius,0,0,0,0
Polythrix_mexicanus,0,0,0,0
Pyrisitia_proterpia,0,0,0,0
Urbanus_dorantes,0,0,0,0
Urbanus_esmeraldus,0,0,0,0
Urbanus_simplicius,0,0,0,0
Epargyreus_exadeus,0,0,0,0
Polistes_sp1,0,0,0,0
Mydas_sp1,0,0,0,0
Syrphidae_sp1,0,0,0,0
Archilochus_colubris,0,0,0,0
Polistes_sp2,0,0,0,0
Bombyliidae_sp1,0,0,0,0
Hemipenthes_sp2,0,0,0,0
Phtiria_sp2,0,0,0,0
Phtiria_sp3,0,0,0,0
Tachinidae_sp1,0,0,0,0
Tachinidae_sp2,0,0,0,0
Tachinidae_sp3,0,0,0,0
Tachinidae_sp4,0,0,0,0
Tachinidae_sp5,0,0,0,0
Sarcophagidae_sp1,0,0,0,0
Muscidae_sp1,0,0,0,0
Muscidae_sp2,0,0,0,0
Dolichopodidae_sp1,0,0,0,0
Syrphidae_sp4,0,0,0,0
Palpada_sp1,0,0,0,0
Diptera_sp1,0,0,0,0
Diptera_sp2,0,0,0,0
Diptera_sp3,0,0,0,0
Tachinidae_sp6,0,0,0,0
Bombyliidae_sp2,0,0,0,0
Unknown_sp2,0,0,0,0
Ancylocelis_apiformis,0,0,0,0
Anthidiellum_sp1,0,0,0,0
Augochlora_sp1,0,0,0,0
Calcididae_sp1,0,0,0,0
Calliopsis_sp2,0,0,0,0
Centris_nitida,0,0,0,0
Centris_sp1,0,0,0,0
Coelioxys__sp1,0,0,0,0
