,General Core,Pollination Core,Ant Core,Dispersal Core
Acacia_cornigera,0,0,0,0
Acacia_macracantha,0,0,0,0
Achatocarpus_nigricans,0,0,0,0
Agave_angustifolia,0,0,0,0
Amphilophium_paniculatum,0,0,0,0
Antogonon_sp1,0,0,0,0
Arundo_donax,0,0,0,0
Bauhinia_divaricata,1,1,0,0
Bidens_pilosa,1,1,0,0
Bouchea_sp1,0,0,0,0
Bromelia_pinguin,0,0,0,0
Bunchosia_lindeliana,0,0,0,0
Bursera_fagaroides,0,0,0,0
Bursera_simaruba,1,0,0,1
Byrsonima_crassifolia,0,0,0,0
Caesalpinia_bonduc,0,0,0,0
Caesalpinia_crista,0,0,0,0
Callicarpa_acuminata,0,0,1,0
Callisia_fragrans,0,0,0,0
Calopogonium_caerulium,0,0,1,0
Canavalia_rosea,1,0,0,0
Caparis_frondosa,0,0,0,0
Cardiospermum_alicabrum,0,0,0,0
Carica_papaya,0,0,0,0
Casearia_corymbosa,0,0,0,0
Cayaponia_attenuata,0,0,0,0
Cedrela_odorata,1,0,1,0
Celtis_caudata,0,0,0,0
Chamaecrista_chamaecristoides,0,0,0,0
Chioccoca_alba,0,0,0,0
Cissus_rhombifolia,0,0,0,0
Cnidoscolus_sp1,0,0,0,0
Coccoloba_barbadensis,0,0,0,0
Combretum_sp1,0,0,0,0
Commelina_erecta,0,0,0,0
Conocarpus_erectus,0,0,0,0
Conyza_sp1,0,0,0,0
Cordia_dentata,0,0,0,0
Cordia_foliosa,0,0,0,0
Cordia_sp1,0,0,0,0
Cordia_spinescens,1,0,1,0
Cornutia_grandiflora,0,0,0,0
Crataeva_tapia,0,0,0,0
Crotalaria_incana,1,0,1,0
Crusea_longiflora,0,1,0,0
Cupania_dentata,0,0,0,0
Cynanchum_sp1,0,1,0,0
Delonix_regia,0,0,0,0
Dendropanax_arboreus,0,0,0,0
Enterolobium_cyclocarpum,0,0,0,0
Eugenia_acapulcensis,0,0,0,0
Eugenia_capuli,0,0,0,0
Fabaceae_sp1,0,0,0,0
Fabaceae_sp2,0,0,0,0
Ficus_cotinifolia,1,0,0,1
Ficus_obtusifolia,0,0,0,0
Gliricidia_sepium,0,0,0,0
Gomphrena_sp1,0,0,0,0
Guazuma_ulmifolia,0,0,0,0
Guettarda_elliptica,0,0,0,0
Helianthus_sp1,0,0,0,0
Heliotropium_sp1,0,0,0,0
Heterocentron_suptriplinervium,0,0,0,0
Hibiscus_tiliaceus,0,0,0,0
Hyptis_suaveolens,1,1,0,0
Inga_vera,0,0,0,0
Ipomoea_alba,0,0,0,0
Ipomoea_pescaprae,0,0,0,0
Ipomoea_sp1,0,0,0,0
Ipomoea_sp2,0,0,0,0
Ipomoea_sp3,0,0,0,0
Ipomoea_sp4,0,0,0,0
Iresine_celosia,0,0,0,0
Jaquinia_macrocarpa,0,0,0,0
Kallstroemia_maxima,0,0,0,0
Karwinskia_humboldtiana,0,0,0,0
Lantana_camara,1,1,0,0
Macroptilium_atropurpureum,0,0,0,0
Malpighia_glabra,0,0,0,0
Manihot_sp1,0,0,0,0
Mansoa_hymanoea,0,0,1,0
Muntigia_calabura,0,0,0,0
Neptunia_oleracea,0,0,0,0
Nymphaea_ampla,0,0,0,0
Opuntia_stricta,0,0,0,0
Palafoxia_lindenii,1,1,0,0
Passiflora_holosericea,0,0,0,0
Passiflora_sp1,0,0,0,0
Petiveria_alliaceae,0,0,0,0
Petrea_volubilis,0,0,0,0
Phoradendron_tamaulipensis,0,0,0,0
Piscidia_piscipula,0,1,0,0
Pithecellobium_calistachys,0,0,0,0
Pontederia_sagitatta,0,0,0,0
Porophyllum_punctatum,0,0,0,0
Prestonia_mexicana,0,0,0,0
Prestonia_sp1,0,0,0,0
Psidium_guajava,0,0,0,0
Psittacanthus_calyculatus,0,0,0,0
Psittacanthus_schiedeanus,0,0,0,0
Psychotria_erythrocapa,1,0,0,0
Randia_laetevirens,1,1,0,0
Rivina_humilis,0,0,0,0
Rourea_glabra,0,0,0,0
Roystonea_dunlapiana,0,0,0,0
Russelia_sp1,0,0,0,0
Rynchosia_americana,0,0,0,0
Sabal_mexicana,0,0,0,0
Scycidium_tamnifolium,0,0,0,0
Senna_occidentalis,0,0,0,0
Sesuvium_maritimum,0,0,0,0
Sida_sp1,0,0,0,0
Solanum_diversifolium,0,0,0,0
Stachytarpheta_sp1,0,0,0,0
Stemmedenia_galeotiana,0,0,0,0
Tabebuia_chrysantha,0,0,0,0
Tabebuia_rosea,0,0,0,0
Tabernamontana_alba,0,0,0,0
Tecoma_stans,1,1,0,0
Terminalia_catappa,0,0,0,0
Tillandsia_limbata,0,0,0,0
Tournefortia_sp1,0,0,0,0
Trichilia_havanensis,0,0,0,0
Turnefortia_hirsutissima,0,0,0,0
Turnera_diffusa,1,1,0,0
Turnera_ulmifolia,1,1,1,0
Unknown_sp1,0,0,0,0
Unknown_sp10,0,0,0,0
Unknown_sp11,0,0,0,0
Unknown_sp12,0,0,0,0
Unknown_sp13,0,0,0,0
Unknown_sp2,0,0,0,0
Unknown_sp3,0,0,0,0
Unknown_sp4,0,0,0,0
Unknown_sp5,0,0,0,0
Unknown_sp6,0,0,0,0
Unknown_sp7,0,0,0,0
Unknown_sp8,0,0,0,0
Unknown_sp9,0,0,0,0
Vitis_biformis,0,0,0,0
Waltheria_indica,1,1,0,0
