"","sp","general_core","pollination_core","ant_core","dispersal_core","pol_subnetwork","ant_subnetwork","disp_subnetwork"
"1","Apis_melifera",1,1,0,0,1,0,0
"2","Lasioglossum_sp1",1,1,0,0,1,0,0
"3","Trigona_nigra",1,1,0,0,1,0,0
"4","Ascia_monuste",1,1,0,0,1,0,0
"5","Euglossa_viridissima",1,1,0,0,1,0,0
"6","Scaptotrigona_pectoralis",1,1,0,0,1,0,0
"7","Ceratina_sp1",1,1,0,0,1,0,0
"8","Danaus_gilipus",1,1,0,0,1,0,0
"9","Sphecidae_sp2",1,1,0,0,1,0,0
"10","Centris_inermis",1,1,0,0,1,0,0
"11","Amazilia_yucatanensis",1,1,0,0,1,0,0
"12","Dryas_julia",0,1,0,0,1,0,0
"13","Phoebis_agarithe",0,1,0,0,1,0,0
"14","Chlorostilbon_canivetti",0,1,0,0,1,0,0
"15","Junona_evarete",0,0,0,0,1,0,0
"16","Urbanus_proteus",0,0,0,0,1,0,0
"17","Agraulis_vanillae",0,0,0,0,1,0,0
"18","Anartia_fatima",0,0,0,0,1,0,0
"19","Epargyreus_aspina",0,0,0,0,1,0,0
"20","Sphecidae_sp4",0,0,0,0,1,0,0
"21","Xylocopa_fimbriata",0,0,0,0,1,0,0
"22","Vespidae_sp1",0,0,0,0,1,0,0
"23","Astraptes_fulgerator",0,0,0,0,1,0,0
"24","Urbanus_sp1",0,0,0,0,1,0,0
"25","Achalarus_jalapus",0,0,0,0,1,0,0
"26","Sphecidae_sp1",0,0,0,0,1,0,0
"27","Augochloropsis_sp1",0,0,0,0,1,0,0
"28","Syrphidae_sp2",0,0,0,0,1,0,0
"29","Syrphidae_sp5",0,0,0,0,1,0,0
"30","Eristalis_sp1",0,0,0,0,1,0,0
"31","Agapostemon_nasutus",0,0,0,0,1,0,0
"32","Mesoplia_regalis",0,0,0,0,1,0,0
"33","Paratetrapedia_moesta",0,0,0,0,1,0,0
"34","Battus_philenor",0,0,0,0,1,0,0
"35","Danaus_eresimus",0,0,0,0,1,0,0
"36","Quasimellana_eulogius",0,0,0,0,1,0,0
"37","Heliconius_charithonia",0,0,0,0,1,0,0
"38","Hemiargus_ceraunus",0,0,0,0,1,0,0
"39","Unknown_sp6",0,0,0,0,1,0,0
"40","Phoebis_sp1",0,0,0,0,1,0,0
"41","Phoebis_sennae",0,0,0,0,1,0,0
"42","Unknown_sp1",0,0,0,0,1,0,0
"43","Augochlora_sp2",0,0,0,0,1,0,0
"44","Syrphidae_sp9",0,0,0,0,1,0,0
"45","Auglochlora_nigrocyanea",0,0,0,0,1,0,0
"46","Pyrgus_communis",0,0,0,0,1,0,0
"47","Hemipenthes_sp1",0,0,0,0,1,0,0
"48","Geron_sp1",0,0,0,0,1,0,0
"49","Phtiria_sp1",0,0,0,0,1,0,0
"50","Syrphidae_sp3",0,0,0,0,1,0,0
"51","Syrphidae_sp6",0,0,0,0,1,0,0
"52","Syrphidae_sp7",0,0,0,0,1,0,0
"53","Lycastrirhyncha_sp1",0,0,0,0,1,0,0
"54","Augochlorella__sp1",0,0,0,0,1,0,0
"55","Calliopsis__sp1",0,0,0,0,1,0,0
"56","Eulaema_polychroma",0,0,0,0,1,0,0
"57","Melissodes_tepaneca",0,0,0,0,1,0,0
"58","Scoliidae_sp1",0,0,0,0,1,0,0
"59","Anartia_jatrophae",0,0,0,0,1,0,0
"60","Astraptes_anaphus",0,0,0,0,1,0,0
"61","Closyne_lacinia",0,0,0,0,1,0,0
"62","Codactractus_sp1",0,0,0,0,1,0,0
"63","Euptoieta_hegesia",0,0,0,0,1,0,0
"64","Melanis_pixe",0,0,0,0,1,0,0
"65","Melete_lycimnia",0,0,0,0,1,0,0
"66","Mimoides_phaon",0,0,0,0,1,0,0
"67","Nisoniades_sp1",0,0,0,0,1,0,0
"68","Papilio_anchisiades",0,0,0,0,1,0,0
"69","Papilo_thoas",0,0,0,0,1,0,0
"70","Phyciodes_tulcis",0,0,0,0,1,0,0
"71","Phocides_polybius",0,0,0,0,1,0,0
"72","Polythrix_mexicanus",0,0,0,0,1,0,0
"73","Pyrisitia_proterpia",0,0,0,0,1,0,0
"74","Urbanus_dorantes",0,0,0,0,1,0,0
"75","Urbanus_esmeraldus",0,0,0,0,1,0,0
"76","Urbanus_simplicius",0,0,0,0,1,0,0
"77","Epargyreus_exadeus",0,0,0,0,1,0,0
"78","Polistes_sp1",0,0,0,0,1,0,0
"79","Mydas_sp1",0,0,0,0,1,0,0
"80","Syrphidae_sp1",0,0,0,0,1,0,0
"81","Archilochus_colubris",0,0,0,0,1,0,0
"82","Polistes_sp2",0,0,0,0,1,0,0
"83","Bombyliidae_sp1",0,0,0,0,1,0,0
"84","Hemipenthes_sp2",0,0,0,0,1,0,0
"85","Phtiria_sp2",0,0,0,0,1,0,0
"86","Phtiria_sp3",0,0,0,0,1,0,0
"87","Tachinidae_sp1",0,0,0,0,1,0,0
"88","Tachinidae_sp2",0,0,0,0,1,0,0
"89","Tachinidae_sp3",0,0,0,0,1,0,0
"90","Tachinidae_sp4",0,0,0,0,1,0,0
"91","Tachinidae_sp5",0,0,0,0,1,0,0
"92","Sarcophagidae_sp1",0,0,0,0,1,0,0
"93","Muscidae_sp1",0,0,0,0,1,0,0
"94","Muscidae_sp2",0,0,0,0,1,0,0
"95","Dolichopodidae_sp1",0,0,0,0,1,0,0
"96","Syrphidae_sp4",0,0,0,0,1,0,0
"97","Palpada_sp1",0,0,0,0,1,0,0
"98","Diptera_sp1",0,0,0,0,1,0,0
"99","Diptera_sp2",0,0,0,0,1,0,0
"100","Diptera_sp3",0,0,0,0,1,0,0
"101","Tachinidae_sp6",0,0,0,0,1,0,0
"102","Bombyliidae_sp2",0,0,0,0,1,0,0
"103","Unknown_sp2",0,0,0,0,1,0,0
"104","Ancylocelis_apiformis",0,0,0,0,1,0,0
"105","Anthidiellum_sp1",0,0,0,0,1,0,0
"106","Augochlora_sp1",0,0,0,0,1,0,0
"107","Calcididae_sp1",0,0,0,0,1,0,0
"108","Calliopsis_sp2",0,0,0,0,1,0,0
"109","Centris_nitida",0,0,0,0,1,0,0
"110","Centris_sp1",0,0,0,0,1,0,0
"111","Coelioxys__sp1",0,0,0,0,1,0,0
"112","Colletes_punctipennis",0,0,0,0,1,0,0
"113","Colletes_sp1",0,0,0,0,1,0,0
"114","Epicharis_lunulata",0,0,0,0,1,0,0
"115","Eufriesea_mexicana",0,0,0,0,1,0,0
"116","Exomalopsis_zexmeniae",0,0,0,0,1,0,0
"117","Hypantidium_sp1",0,0,0,0,1,0,0
"118","Lasioglossum_sp2",0,0,0,0,1,0,0
"119","Megachile_sp1",0,0,0,0,1,0,0
"120","Megachile_sp2",0,0,0,0,1,0,0
"121","Megachile_sp3",0,0,0,0,1,0,0
"122","Megachile_sp4",0,0,0,0,1,0,0
"123","Megachile_sp5",0,0,0,0,1,0,0
"124","Megachile_sp6",0,0,0,0,1,0,0
"125","Paratetrapedia_sp1",0,0,0,0,1,0,0
"126","Peponapis_crassidentata",0,0,0,0,1,0,0
"127","Pseudaugochlora_graminea",0,0,0,0,1,0,0
"128","Ptiloglossa_sp1",0,0,0,0,1,0,0
"129","Vespidae_sp2",0,0,0,0,1,0,0
"130","Vespidae_sp3",0,0,0,0,1,0,0
"131","Vespidae_sp4",0,0,0,0,1,0,0
"132","Vespidae_sp5",0,0,0,0,1,0,0
"133","Vespidae_sp6",0,0,0,0,1,0,0
"134","Sphecidae_sp3",0,0,0,0,1,0,0
"135","Bracon_sp1",0,0,0,0,1,0,0
"136","Vespidae_sp8",0,0,0,0,1,0,0
"137","Vespidae_sp7",0,0,0,0,1,0,0
"138","Sphecidae_sp5",0,0,0,0,1,0,0
"139","Pompilidae_sp2",0,0,0,0,1,0,0
"140","Unknown_sp3",0,0,0,0,1,0,0
"141","Coelioxys_sp2",0,0,0,0,1,0,0
"142","Adelpha_fessonia",0,0,0,0,1,0,0
"143","Aguna_claxon",0,0,0,0,1,0,0
"144","Anteros_carausius",0,0,0,0,1,0,0
"145","Unknown_sp4",0,0,0,0,1,0,0
"146","Chioides_zilpa",0,0,0,0,1,0,0
"147","Chlosyne_janais",0,0,0,0,1,0,0
"148","Chlosyne_theona",0,0,0,0,1,0,0
"149","Calycopis_isobeon",0,0,0,0,1,0,0
"150","Cycloglypha_thrasibulus",0,0,0,0,1,0,0
"151","Danaus_plexippus",0,0,0,0,1,0,0
"152","Dryadula_phaetusa",0,0,0,0,1,0,0
"153","Epargyreus_spina",0,0,0,0,1,0,0
"154","Eurytides_philolaus",0,0,0,0,1,0,0
"155","Everes_comyntas",0,0,0,0,1,0,0
"156","Hylephila_phyleus",0,0,0,0,1,0,0
"157","Polytex_vibex",0,0,0,0,1,0,0
"158","Vinepeius_tinga",0,0,0,0,1,0,0
"159","Heliconius_erato",0,0,0,0,1,0,0
"160","Leptotes_casius",0,0,0,0,1,0,0
"161","Lerodea_dysaules",0,0,0,0,1,0,0
"162","Marpesia_sp1",0,0,0,0,1,0,0
"163","Unknown_sp5",0,0,0,0,1,0,0
"164","Pyrgus_oileus",0,0,0,0,1,0,0
"165","Proteides_mercurius",0,0,0,0,1,0,0
"166","Rethus_arcius",0,0,0,0,1,0,0
"167","Sostrata_bifasciata",0,0,0,0,1,0,0
"168","Spathilepia_clonius",0,0,0,0,1,0,0
"169","Staphylus_mazans",0,0,0,0,1,0,0
"170","Strymon_alba",0,0,0,0,1,0,0
"171","Theope_eupolis",0,0,0,0,1,0,0
"172","Urbanus_doryssus",0,0,0,0,1,0,0
"173","Urbanus_procne",0,0,0,0,1,0,0
"174","Camponotus_planatus",1,0,1,0,0,1,0
"175","Camponotus_mucronatus",1,0,1,0,0,1,0
"176","Paratrechina_longicornis",1,0,1,0,0,1,0
"177","Crematogaster_brevispinosa",1,0,0,0,0,1,0
"178","Camponotus_atriceps",1,0,0,0,0,1,0
"179","Azteca_sp1",1,0,0,0,0,1,0
"180","Cephalotes_minutus",1,0,0,0,0,1,0
"181","Pseudomyrmex_gracilis",1,0,0,0,0,1,0
"182","Pachycondyla_villosa",1,0,0,0,0,1,0
"183","Dorymyrmex_bicolor",0,0,0,0,0,1,0
"184","Pseudomyrmex_brunneus",0,0,0,0,0,1,0
"185","Tetramorium_spinosum",0,0,0,0,0,1,0
"186","Wasmannia_auropunctata",0,0,0,0,0,1,0
"187","Camponotus_hirsutinasus",0,0,0,0,0,1,0
"188","Forelius_analis",0,0,0,0,0,1,0
"189","Leptothorax_echinatinodis",0,0,0,0,0,1,0
"190","Monomorium_cyaneum",0,0,0,0,0,1,0
"191","Pheidole_sp1",0,0,0,0,0,1,0
"192","Solenopsis_geminata_",0,0,0,0,0,1,0
"193","Cephalotes_umbraculatus",0,0,0,0,0,1,0
"194","Monomorium_floricola",0,0,0,0,0,1,0
"195","Pachycondyla_unidentata",0,0,0,0,0,1,0
"196","Pseudomyrmex_ejectus",0,0,0,0,0,1,0
"197","Dolichoderus_diversus",0,0,0,0,0,1,0
"198","Brachymyrmex_sp1",0,0,0,0,0,1,0
"199","Pseudomyrmex_pallidus",0,0,0,0,0,1,0
"200","Camponotus_sericeiventris",0,0,0,0,0,1,0
"201","Paratrechina_sp1",0,0,0,0,0,1,0
"202","Pseudomyrmex_ferrugineus",0,0,0,0,0,1,0
"203","Pseudomyrmex_sp1",0,0,0,0,0,1,0
"204","Psilorhinus_morio",1,0,0,1,0,0,1
"205","Tyrannus_forficatus",1,0,0,1,0,0,1
"206","Ortalis_vetula",0,0,0,1,0,0,1
"207","Myiozetetes_similis",0,0,0,1,0,0,1
"208","Psarocolius_montezuma",0,0,0,1,0,0,1
"209","Pitangus_sulphuratus",0,0,0,1,0,0,1
"210","Dumetella_carolinensis",0,0,0,1,0,0,1
"211","Empidonax_trailli",0,0,0,1,0,0,1
"212","Myiarchus_crinitus",0,0,0,0,0,0,1
"213","Mimus_polyglottos",0,0,0,0,0,0,1
"214","Icterus_gularis",0,0,0,0,0,0,1
"215","Turdus_grayi",0,0,0,0,0,0,1
"216","Megarynchus_pitangua",0,0,0,0,0,0,1
"217","Icterus_galbula",0,0,0,0,0,0,1
"218","Melanerpes_aurifrons",0,0,0,0,0,0,1
"219","Thraupis_episcopus",0,0,0,0,0,0,1
"220","Icteria_virens",0,0,0,0,0,0,1
"221","Tyrannus_verticalis",0,0,0,0,0,0,1
"222","Trogon_melanocephalus",0,0,0,0,0,0,1
"223","Dives_dives",0,0,0,0,0,0,1
"224","Tyrannus_couchii",0,0,0,0,0,0,1
"225","Tityra_semifasciata",0,0,0,0,0,0,1
"226","Piranga_ludoviciana",0,0,0,0,0,0,1
"227","Bombycilla_cedrorum",0,0,0,0,0,0,1
"228","Vireo_olivaceus",0,0,0,0,0,0,1
"229","Piranga_olivacea",0,0,0,0,0,0,1
"230","Cardinalis_cardinalis",0,0,0,0,0,0,1
"231","Piranga_rubra",0,0,0,0,0,0,1
"232","Thraupis_episcopus",0,0,0,0,0,0,1
"233","Empidonax_sp1",0,0,0,0,0,0,1
"234","Icterus_cucullatus",0,0,0,0,0,0,1
"235","Dendroica_sp1",0,0,0,0,0,0,1
"236","Empidonax_sp2",0,0,0,0,0,0,1
"237","Myiarchus_tuberculifer",0,0,0,0,0,0,1
"238","Tyrannus_melancholicus",0,0,0,0,0,0,1
"239","Quiscalus_mexicanus",0,0,0,0,0,0,1
"240","Myiarchus_cinerascens",0,0,0,0,0,0,1
"241","Icterus_spurius",0,0,0,0,0,0,1
