"","sp","general_core","pollination_core","ant_core","dispersal_core","pol_subnetwork","ant_subnetwork","disp_subnetwork"
"1","Acacia_cornigera",0,0,0,0,1,1,0
"2","Acacia_macracantha",0,0,0,0,0,1,0
"3","Achatocarpus_nigricans",0,0,0,0,0,0,1
"4","Agave_angustifolia",0,0,0,0,1,0,0
"5","Amphilophium_paniculatum",0,0,0,0,0,1,0
"6","Antogonon_sp1",0,0,0,0,1,0,0
"7","Arundo_donax",0,0,0,0,0,1,0
"8","Bauhinia_divaricata",1,1,0,0,1,0,0
"9","Bidens_pilosa",1,1,0,0,1,1,0
"10","Bouchea_sp1",0,0,0,0,1,0,0
"11","Bromelia_pinguin",0,0,0,0,1,0,1
"12","Bunchosia_lindeliana",0,0,0,0,0,1,0
"13","Bursera_fagaroides",0,0,0,0,0,0,1
"14","Bursera_simaruba",1,0,0,1,0,0,1
"15","Byrsonima_crassifolia",0,0,0,0,1,0,0
"16","Caesalpinia_bonduc",0,0,0,0,1,0,0
"17","Caesalpinia_crista",0,0,0,0,0,1,0
"18","Callicarpa_acuminata",0,0,1,0,0,1,0
"19","Callisia_fragrans",0,0,0,0,1,0,0
"20","Calopogonium_caerulium",0,0,1,0,0,1,0
"21","Canavalia_rosea",1,0,0,0,1,1,0
"22","Caparis_frondosa",0,0,0,0,0,1,0
"23","Cardiospermum_alicabrum",0,0,0,0,1,0,0
"24","Carica_papaya",0,0,0,0,1,0,0
"25","Casearia_corymbosa",0,0,0,0,1,0,1
"26","Cayaponia_attenuata",0,0,0,0,1,0,0
"27","Cedrela_odorata",1,0,1,0,0,1,0
"28","Celtis_caudata",0,0,0,0,0,0,1
"29","Chamaecrista_chamaecristoides",0,0,0,0,1,1,0
"30","Chioccoca_alba",0,0,0,0,0,0,1
"31","Cissus_rhombifolia",0,0,0,0,0,1,0
"32","Cnidoscolus_sp1",0,0,0,0,1,0,0
"33","Coccoloba_barbadensis",0,0,0,0,0,0,1
"34","Combretum_sp1",0,0,0,0,1,0,1
"35","Commelina_erecta",0,0,0,0,1,0,0
"36","Conocarpus_erectus",0,0,0,0,1,1,0
"37","Conyza_sp1",0,0,0,0,0,0,1
"38","Cordia_dentata",0,0,0,0,1,1,0
"39","Cordia_foliosa",0,0,0,0,1,0,0
"40","Cordia_sp1",0,0,0,0,1,0,0
"41","Cordia_spinescens",1,0,1,0,0,1,0
"42","Cornutia_grandiflora",0,0,0,0,0,1,0
"43","Crataeva_tapia",0,0,0,0,0,1,0
"44","Crotalaria_incana",1,0,1,0,1,1,0
"45","Crusea_longiflora",0,1,0,0,1,0,0
"46","Cupania_dentata",0,0,0,0,0,0,1
"47","Cynanchum_sp1",0,1,0,0,1,0,0
"48","Delonix_regia",0,0,0,0,1,0,0
"49","Dendropanax_arboreus",0,0,0,0,0,0,1
"50","Enterolobium_cyclocarpum",0,0,0,0,1,0,0
"51","Eugenia_acapulcensis",0,0,0,0,0,0,1
"52","Eugenia_capuli",0,0,0,0,1,0,0
"53","Fabaceae_sp1",0,0,0,0,1,0,0
"54","Fabaceae_sp2",0,0,0,0,1,0,0
"55","Ficus_cotinifolia",1,0,0,1,0,0,1
"56","Ficus_obtusifolia",0,0,0,0,0,1,0
"57","Gliricidia_sepium",0,0,0,0,1,0,0
"58","Gomphrena_sp1",0,0,0,0,1,0,0
"59","Guazuma_ulmifolia",0,0,0,0,1,0,0
"60","Guettarda_elliptica",0,0,0,0,0,0,1
"61","Helianthus_sp1",0,0,0,0,1,0,0
"62","Heliotropium_sp1",0,0,0,0,1,0,0
"63","Heterocentron_suptriplinervium",0,0,0,0,0,1,0
"64","Hibiscus_tiliaceus",0,0,0,0,0,1,0
"65","Hyptis_suaveolens",1,1,0,0,1,0,0
"66","Inga_vera",0,0,0,0,1,0,0
"67","Ipomoea_alba",0,0,0,0,1,0,0
"68","Ipomoea_pescaprae",0,0,0,0,1,1,0
"69","Ipomoea_sp1",0,0,0,0,0,1,0
"70","Ipomoea_sp2",0,0,0,0,1,0,0
"71","Ipomoea_sp3",0,0,0,0,1,0,0
"72","Ipomoea_sp4",0,0,0,0,1,0,0
"73","Iresine_celosia",0,0,0,0,0,1,0
"74","Jaquinia_macrocarpa",0,0,0,0,1,0,0
"75","Kallstroemia_maxima",0,0,0,0,1,0,0
"76","Karwinskia_humboldtiana",0,0,0,0,1,0,1
"77","Lantana_camara",1,1,0,0,1,0,0
"78","Macroptilium_atropurpureum",0,0,0,0,1,1,0
"79","Malpighia_glabra",0,0,0,0,0,0,1
"80","Manihot_sp1",0,0,0,0,1,0,0
"81","Mansoa_hymanoea",0,0,1,0,0,1,0
"82","Muntigia_calabura",0,0,0,0,1,0,0
"83","Neptunia_oleracea",0,0,0,0,1,0,0
"84","Nymphaea_ampla",0,0,0,0,1,0,0
"85","Opuntia_stricta",0,0,0,0,1,1,0
"86","Palafoxia_lindenii",1,1,0,0,1,0,0
"87","Passiflora_holosericea",0,0,0,0,0,1,0
"88","Passiflora_sp1",0,0,0,0,1,0,0
"89","Petiveria_alliaceae",0,0,0,0,1,1,0
"90","Petrea_volubilis",0,0,0,0,0,1,0
"91","Phoradendron_tamaulipensis",0,0,0,0,0,0,1
"92","Piscidia_piscipula",0,1,0,0,1,0,0
"93","Pithecellobium_calistachys",0,0,0,0,0,0,1
"94","Pontederia_sagitatta",0,0,0,0,1,0,0
"95","Porophyllum_punctatum",0,0,0,0,1,0,0
"96","Prestonia_mexicana",0,0,0,0,0,1,0
"97","Prestonia_sp1",0,0,0,0,1,0,0
"98","Psidium_guajava",0,0,0,0,1,0,0
"99","Psittacanthus_calyculatus",0,0,0,0,1,0,0
"100","Psittacanthus_schiedeanus",0,0,0,0,1,0,0
"101","Psychotria_erythrocapa",1,0,0,0,1,0,1
"102","Randia_laetevirens",1,1,0,0,1,0,1
"103","Rivina_humilis",0,0,0,0,1,0,0
"104","Rourea_glabra",0,0,0,0,0,0,1
"105","Roystonea_dunlapiana",0,0,0,0,1,0,0
"106","Russelia_sp1",0,0,0,0,1,0,0
"107","Rynchosia_americana",0,0,0,0,1,0,0
"108","Sabal_mexicana",0,0,0,0,0,0,1
"109","Scycidium_tamnifolium",0,0,0,0,0,1,0
"110","Senna_occidentalis",0,0,0,0,0,1,0
"111","Sesuvium_maritimum",0,0,0,0,1,0,0
"112","Sida_sp1",0,0,0,0,1,0,0
"113","Solanum_diversifolium",0,0,0,0,0,1,0
"114","Stachytarpheta_sp1",0,0,0,0,1,0,0
"115","Stemmedenia_galeotiana",0,0,0,0,0,0,1
"116","Tabebuia_chrysantha",0,0,0,0,1,0,0
"117","Tabebuia_rosea",0,0,0,0,0,1,0
"118","Tabernamontana_alba",0,0,0,0,0,0,1
"119","Tecoma_stans",1,1,0,0,1,0,0
"120","Terminalia_catappa",0,0,0,0,1,1,0
"121","Tillandsia_limbata",0,0,0,0,1,0,0
"122","Tournefortia_sp1",0,0,0,0,1,0,0
"123","Trichilia_havanensis",0,0,0,0,0,1,0
"124","Turnefortia_hirsutissima",0,0,0,0,0,0,1
"125","Turnera_diffusa",1,1,0,0,1,0,0
"126","Turnera_ulmifolia",1,1,1,0,1,1,0
"127","Unknown_sp1",0,0,0,0,1,0,0
"128","Unknown_sp10",0,0,0,0,1,0,0
"129","Unknown_sp11",0,0,0,0,1,0,0
"130","Unknown_sp12",0,0,0,0,1,0,0
"131","Unknown_sp13",0,0,0,0,1,0,0
"132","Unknown_sp2",0,0,0,0,1,0,0
"133","Unknown_sp3",0,0,0,0,1,0,0
"134","Unknown_sp4",0,0,0,0,1,0,0
"135","Unknown_sp5",0,0,0,0,1,0,0
"136","Unknown_sp6",0,0,0,0,1,0,0
"137","Unknown_sp7",0,0,0,0,1,0,0
"138","Unknown_sp8",0,0,0,0,1,0,0
"139","Unknown_sp9",0,0,0,0,1,0,0
"140","Vitis_biformis",0,0,0,0,0,0,1
"141","Waltheria_indica",1,1,0,0,1,0,0
