File	N.modules	Modularity	P.Null1	P.Null2
net_no_dispersal_core_links.txt	10	0.649299	0.000000	0.000000
net_random_links_dispersal_core_1.txt	9	0.652452	0.000000	0.000000
net_random_links_dispersal_core_10.txt	9	0.650256	0.000000	0.000000
net_random_links_dispersal_core_100.txt	9	0.652762	0.000000	0.000000
net_random_links_dispersal_core_11.txt	10	0.651891	0.000000	0.000000
net_random_links_dispersal_core_12.txt	10	0.643453	0.000000	0.000000
net_random_links_dispersal_core_13.txt	9	0.649777	0.000000	0.000000
net_random_links_dispersal_core_14.txt	10	0.651512	0.000000	0.000000
net_random_links_dispersal_core_15.txt	8	0.643803	0.000000	0.000000
net_random_links_dispersal_core_16.txt	10	0.645260	0.000000	0.000000
net_random_links_dispersal_core_17.txt	11	0.644807	0.000000	0.000000
net_random_links_dispersal_core_18.txt	9	0.652700	0.000000	0.000000
net_random_links_dispersal_core_19.txt	12	0.655911	0.000000	0.000000
net_random_links_dispersal_core_2.txt	8	0.648059	0.000000	0.000000
net_random_links_dispersal_core_20.txt	10	0.652057	0.000000	0.000000
net_random_links_dispersal_core_21.txt	9	0.647083	0.000000	0.000000
net_random_links_dispersal_core_22.txt	8	0.653386	0.000000	0.000000
net_random_links_dispersal_core_23.txt	11	0.654421	0.000000	0.000000
net_random_links_dispersal_core_24.txt	10	0.643393	0.000000	0.000000
net_random_links_dispersal_core_25.txt	10	0.649518	0.000000	0.000000
net_random_links_dispersal_core_26.txt	8	0.647382	0.000000	0.000000
net_random_links_dispersal_core_27.txt	9	0.653913	0.000000	0.000000
net_random_links_dispersal_core_28.txt	11	0.647782	0.000000	0.000000
net_random_links_dispersal_core_29.txt	9	0.652057	0.000000	0.000000
net_random_links_dispersal_core_3.txt	10	0.642606	0.000000	0.000000
net_random_links_dispersal_core_30.txt	8	0.647779	0.000000	0.000000
net_random_links_dispersal_core_31.txt	10	0.647806	0.000000	0.000000
net_random_links_dispersal_core_32.txt	7	0.647147	0.000000	0.000000
net_random_links_dispersal_core_33.txt	10	0.648382	0.000000	0.000000
net_random_links_dispersal_core_34.txt	8	0.645723	0.000000	0.000000
net_random_links_dispersal_core_35.txt	9	0.653894	0.000000	0.000000
net_random_links_dispersal_core_36.txt	8	0.647229	0.000000	0.000000
net_random_links_dispersal_core_37.txt	9	0.651184	0.000000	0.000000
net_random_links_dispersal_core_38.txt	9	0.649574	0.000000	0.000000
net_random_links_dispersal_core_39.txt	10	0.653776	0.000000	0.000000
net_random_links_dispersal_core_4.txt	10	0.650560	0.000000	0.000000
net_random_links_dispersal_core_40.txt	7	0.646810	0.000000	0.000000
net_random_links_dispersal_core_41.txt	10	0.648103	0.000000	0.000000
