File	N.modules	Modularity	P.Null1	P.Null2
net_no_general_core_links.txt	9	0.690413	0.000000	0.000000
net_random_links_general_core_1.txt	10	0.670024	0.000000	0.000000
net_random_links_general_core_10.txt	12	0.682926	0.000000	0.000000
net_random_links_general_core_100.txt	11	0.668781	0.000000	0.000000
net_random_links_general_core_11.txt	9	0.664851	0.000000	0.000000
net_random_links_general_core_12.txt	9	0.671792	0.000000	0.000000
net_random_links_general_core_13.txt	9	0.674458	0.000000	0.000000
net_random_links_general_core_14.txt	9	0.668875	0.000000	0.000000
net_random_links_general_core_15.txt	11	0.675737	0.000000	0.000000
net_random_links_general_core_16.txt	11	0.681984	0.000000	0.000000
net_random_links_general_core_17.txt	9	0.675085	0.000000	0.000000
net_random_links_general_core_18.txt	11	0.677192	0.000000	0.000000
net_random_links_general_core_19.txt	12	0.674823	0.000000	0.000000
net_random_links_general_core_2.txt	9	0.668076	0.000000	0.000000
net_random_links_general_core_20.txt	9	0.673185	0.000000	0.000000
net_random_links_general_core_21.txt	11	0.677707	0.000000	0.000000
net_random_links_general_core_22.txt	11	0.675845	0.000000	0.000000
net_random_links_general_core_23.txt	11	0.670178	0.000000	0.000000
net_random_links_general_core_24.txt	12	0.664697	0.000000	0.000000
net_random_links_general_core_25.txt	10	0.668010	0.000000	0.000000
net_random_links_general_core_26.txt	10	0.670852	0.000000	0.000000
net_random_links_general_core_27.txt	8	0.671603	0.000000	0.000000
net_random_links_general_core_28.txt	11	0.681020	0.000000	0.000000
net_random_links_general_core_29.txt	10	0.682305	0.000000	0.000000
net_random_links_general_core_3.txt	12	0.677826	0.000000	0.000000
net_random_links_general_core_30.txt	9	0.660513	0.000000	0.000000
net_random_links_general_core_31.txt	11	0.692751	0.000000	0.000000
net_random_links_general_core_32.txt	9	0.669137	0.000000	0.000000
net_random_links_general_core_33.txt	9	0.676690	0.000000	0.000000
net_random_links_general_core_34.txt	11	0.669503	0.000000	0.000000
net_random_links_general_core_35.txt	9	0.667634	0.000000	0.000000
net_random_links_general_core_36.txt	10	0.676567	0.000000	0.000000
net_random_links_general_core_37.txt	13	0.670504	0.000000	0.000000
net_random_links_general_core_38.txt	11	0.672886	0.000000	0.000000
net_random_links_general_core_39.txt	10	0.672353	0.000000	0.000000
net_random_links_general_core_4.txt	8	0.666564	0.000000	0.000000
net_random_links_general_core_40.txt	10	0.669657	0.000000	0.000000
net_random_links_general_core_41.txt	12	0.671138	0.000000	0.000000
net_random_links_general_core_42.txt	11	0.660790	0.000000	0.000000
net_random_links_general_core_43.txt	9	0.667814	0.000000	0.000000
