"Apis_melifera" "Lasioglossum_sp1" "Trigona_nigra" "Ascia_monuste" "Euglossa_viridissima" "Scaptotrigona_pectoralis" "Ceratina_sp1" "Danaus_gilipus" "Sphecidae_sp2" "Centris_inermis" "Amazilia_yucatanensis" "Dryas_julia" "Phoebis_agarithe" "Chlorostilbon_canivetti" "Junona_evarete" "Urbanus_proteus" "Agraulis_vanillae" "Anartia_fatima" "Epargyreus_aspina" "Sphecidae_sp4" "Xylocopa_fimbriata" "Vespidae_sp1" "Astraptes_fulgerator" "Urbanus_sp1" "Achalarus_jalapus" "Sphecidae_sp1" "Augochloropsis_sp1" "Syrphidae_sp2" "Syrphidae_sp5" "Eristalis_sp1" "Agapostemon_nasutus" "Mesoplia_regalis" "Paratetrapedia_moesta" "Battus_philenor" "Danaus_eresimus" "Quasimellana_eulogius" "Heliconius_charithonia" "Hemiargus_ceraunus" "Unknown_sp6" "Phoebis_sp1" "Phoebis_sennae" "Unknown_sp1" "Augochlora_sp2" "Syrphidae_sp9" "Auglochlora_nigrocyanea" "Pyrgus_communis" "Hemipenthes_sp1" "Geron_sp1" "Phtiria_sp1" "Syrphidae_sp3" "Syrphidae_sp6" "Syrphidae_sp7" "Lycastrirhyncha_sp1" "Augochlorella__sp1" "Calliopsis__sp1" "Eulaema_polychroma" "Melissodes_tepaneca" "Scoliidae_sp1" "Anartia_jatrophae" "Astraptes_anaphus" "Closyne_lacinia" "Codactractus_sp1" "Euptoieta_hegesia" "Melanis_pixe" "Melete_lycimnia" "Mimoides_phaon" "Nisoniades_sp1" "Papilio_anchisiades" "Papilo_thoas" "Phyciodes_tulcis" "Phocides_polybius" "Polythrix_mexicanus" "Pyrisitia_proterpia" "Urbanus_dorantes" "Urbanus_esmeraldus" "Urbanus_simplicius" "Epargyreus_exadeus" "Polistes_sp1" "Mydas_sp1" "Syrphidae_sp1" "Archilochus_colubris" "Polistes_sp2" "Bombyliidae_sp1" "Hemipenthes_sp2" "Phtiria_sp2" "Phtiria_sp3" "Tachinidae_sp1" "Tachinidae_sp2" "Tachinidae_sp3" "Tachinidae_sp4" "Tachinidae_sp5" "Sarcophagidae_sp1" "Muscidae_sp1" "Muscidae_sp2" "Dolichopodidae_sp1" "Syrphidae_sp4" "Palpada_sp1" "Diptera_sp1" "Diptera_sp2" "Diptera_sp3" "Tachinidae_sp6" "Bombyliidae_sp2" "Unknown_sp2" "Ancylocelis_apiformis" "Anthidiellum_sp1" "Augochlora_sp1" "Calcididae_sp1" "Calliopsis_sp2" "Centris_nitida" "Centris_sp1" "Coelioxys__sp1" "Colletes_punctipennis" "Colletes_sp1" "Epicharis_lunulata" "Eufriesea_mexicana" "Exomalopsis_zexmeniae" "Hypantidium_sp1" "Lasioglossum_sp2" "Megachile_sp1" "Megachile_sp2" "Megachile_sp3" "Megachile_sp4" "Megachile_sp5" "Megachile_sp6" "Paratetrapedia_sp1" "Peponapis_crassidentata" "Pseudaugochlora_graminea" "Ptiloglossa_sp1" "Vespidae_sp2" "Vespidae_sp3" "Vespidae_sp4" "Vespidae_sp5" "Vespidae_sp6" "Sphecidae_sp3" "Bracon_sp1" "Vespidae_sp8" "Vespidae_sp7" "Sphecidae_sp5" "Pompilidae_sp2" "Unknown_sp3" "Coelioxys_sp2" "Adelpha_fessonia" "Aguna_claxon" "Anteros_carausius" "Unknown_sp4" "Chioides_zilpa" "Chlosyne_janais" "Chlosyne_theona" "Calycopis_isobeon" "Cycloglypha_thrasibulus" "Danaus_plexippus" "Dryadula_phaetusa" "Epargyreus_spina" "Eurytides_philolaus" "Everes_comyntas" "Hylephila_phyleus" "Polytex_vibex" "Vinepeius_tinga" "Heliconius_erato" "Leptotes_casius" "Lerodea_dysaules" "Marpesia_sp1" "Unknown_sp5" "Pyrgus_oileus" "Proteides_mercurius" "Rethus_arcius" "Sostrata_bifasciata" "Spathilepia_clonius" "Staphylus_mazans" "Strymon_alba" "Theope_eupolis" "Urbanus_doryssus" "Urbanus_procne" "Camponotus_planatus" "Camponotus_mucronatus" "Paratrechina_longicornis" "Crematogaster_brevispinosa" "Camponotus_atriceps" "Azteca_sp1" "Cephalotes_minutus" "Pseudomyrmex_gracilis" "Pachycondyla_villosa" "Dorymyrmex_bicolor" "Pseudomyrmex_brunneus" "Tetramorium_spinosum" "Wasmannia_auropunctata" "Camponotus_hirsutinasus" "Forelius_analis" "Leptothorax_echinatinodis" "Monomorium_cyaneum" "Pheidole_sp1" "Solenopsis_geminata_" "Cephalotes_umbraculatus" "Monomorium_floricola" "Pachycondyla_unidentata" "Pseudomyrmex_ejectus" "Dolichoderus_diversus" "Brachymyrmex_sp1" "Pseudomyrmex_pallidus" "Camponotus_sericeiventris" "Paratrechina_sp1" "Pseudomyrmex_ferrugineus" "Pseudomyrmex_sp1" "Psilorhinus_morio" "Myiozetetes_similis" "Psarocolius_montezuma" "Pitangus_sulphuratus" "Dumetella_carolinensis" "Empidonax_trailli" "Myiarchus_crinitus" "Mimus_polyglottos" "Icterus_gularis" "Turdus_grayi" "Megarynchus_pitangua" "Icterus_galbula" "Melanerpes_aurifrons" "Thraupis_episcopus" "Tyrannus_verticalis" "Dives_dives" "Tyrannus_couchii" "Piranga_ludoviciana" "Vireo_olivaceus" "Piranga_olivacea" "Cardinalis_cardinalis" "Piranga_rubra" "Thraupis_episcopus.1" "Empidonax_sp1" "Dendroica_sp1" "Empidonax_sp2" "Myiarchus_tuberculifer" "Tyrannus_melancholicus" "Quiscalus_mexicanus" "Icterus_spurius" "Anthus_spragueii" "Myiarchus_tyrannulus" "Vireo_solitarius" "Piranga_bidentata" "Momotus_momota" "Tyrannus_vociferans" "Passerina_versicolor" "Vermivora_celata"
"Acacia_cornigera" 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Acacia_macracantha" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Achatocarpus_nigricans" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 1 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Agave_angustifolia" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Amphilophium_paniculatum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Antogonon_sp1" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Arundo_donax" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bauhinia_divaricata" 1 0 1 1 0 0 0 1 0 0 0 0 1 1 0 0 0 0 1 0 0 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 1 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bidens_pilosa" 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 1 0 1 0 0 0 1 0 1 0 1 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bouchea_sp1" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
