File	N.modules	Modularity	P.Null1	P.Null2
net_no_ant_core.txt	10	0.663258	0.000000	0.000000
net_random_ant_core_1.txt	10	0.665971	0.000000	0.000000
net_random_ant_core_10.txt	9	0.675147	0.000000	0.000000
net_random_ant_core_100.txt	10	0.656920	0.000000	0.000000
net_random_ant_core_11.txt	9	0.676732	0.000000	0.000000
net_random_ant_core_12.txt	12	0.668965	0.000000	0.000000
net_random_ant_core_13.txt	11	0.665880	0.000000	0.000000
net_random_ant_core_14.txt	11	0.668338	0.000000	0.000000
net_random_ant_core_15.txt	10	0.659793	0.000000	0.000000
net_random_ant_core_16.txt	11	0.678835	0.000000	0.000000
net_random_ant_core_17.txt	9	0.667929	0.000000	0.000000
net_random_ant_core_18.txt	9	0.659316	0.000000	0.000000
net_random_ant_core_19.txt	9	0.667835	0.000000	0.000000
net_random_ant_core_2.txt	10	0.662306	0.000000	0.000000
net_random_ant_core_20.txt	10	0.668046	0.000000	0.000000
net_random_ant_core_21.txt	8	0.662624	0.000000	0.000000
net_random_ant_core_22.txt	12	0.680056	0.000000	0.000000
net_random_ant_core_23.txt	10	0.669496	0.000000	0.000000
net_random_ant_core_24.txt	11	0.660666	0.000000	0.000000
net_random_ant_core_25.txt	9	0.682505	0.000000	0.000000
net_random_ant_core_26.txt	8	0.658770	0.000000	0.000000
net_random_ant_core_27.txt	9	0.680944	0.000000	0.000000
net_random_ant_core_28.txt	8	0.666844	0.000000	0.000000
net_random_ant_core_29.txt	9	0.679770	0.000000	0.000000
net_random_ant_core_3.txt	9	0.672324	0.000000	0.000000
net_random_ant_core_30.txt	10	0.660181	0.000000	0.000000
net_random_ant_core_31.txt	10	0.672916	0.000000	0.000000
net_random_ant_core_32.txt	10	0.667884	0.000000	0.000000
net_random_ant_core_33.txt	8	0.676304	0.000000	0.000000
net_random_ant_core_34.txt	10	0.678152	0.000000	0.000000
net_random_ant_core_35.txt	9	0.663935	0.000000	0.000000
net_random_ant_core_36.txt	9	0.677718	0.000000	0.000000
net_random_ant_core_37.txt	9	0.687612	0.000000	0.000000
net_random_ant_core_38.txt	13	0.678472	0.000000	0.000000
net_random_ant_core_39.txt	10	0.657560	0.000000	0.000000
net_random_ant_core_4.txt	10	0.670022	0.000000	0.000000
net_random_ant_core_40.txt	11	0.663705	0.000000	0.000000
net_random_ant_core_41.txt	10	0.676385	0.000000	0.000000
net_random_ant_core_42.txt	12	0.680274	0.000000	0.000000
net_random_ant_core_43.txt	9	0.689456	0.000000	0.000000
net_random_ant_core_44.txt	10	0.651351	0.000000	0.000000
net_random_ant_core_45.txt	12	0.663112	0.000000	0.000000
net_random_ant_core_46.txt	10	0.683103	0.000000	0.000000
net_random_ant_core_47.txt	11	0.673447	0.000000	0.000000
net_random_ant_core_48.txt	9	0.685303	0.000000	0.000000
net_random_ant_core_49.txt	7	0.662042	0.000000	0.000000
net_random_ant_core_5.txt	10	0.665559	0.000000	0.000000
net_random_ant_core_50.txt	9	0.660188	0.000000	0.000000
net_random_ant_core_51.txt	10	0.673011	0.000000	0.000000
net_random_ant_core_52.txt	10	0.671827	0.000000	0.000000
net_random_ant_core_53.txt	11	0.663907	0.000000	0.000000
net_random_ant_core_54.txt	9	0.672377	0.000000	0.000000
net_random_ant_core_55.txt	11	0.678887	0.000000	0.000000
net_random_ant_core_56.txt	11	0.666278	0.000000	0.000000
net_random_ant_core_57.txt	10	0.664291	0.000000	0.000000
net_random_ant_core_58.txt	8	0.664185	0.000000	0.000000
net_random_ant_core_59.txt	10	0.673132	0.000000	0.000000
net_random_ant_core_6.txt	10	0.654022	0.000000	0.000000
net_random_ant_core_60.txt	11	0.676402	0.000000	0.000000
net_random_ant_core_61.txt	10	0.666293	0.000000	0.000000
net_random_ant_core_62.txt	11	0.673406	0.000000	0.000000
net_random_ant_core_63.txt	12	0.666329	0.000000	0.000000
net_random_ant_core_64.txt	12	0.664515	0.000000	0.000000
net_random_ant_core_65.txt	8	0.658883	0.000000	0.000000
net_random_ant_core_66.txt	13	0.669478	0.000000	0.000000
net_random_ant_core_67.txt	9	0.683312	0.000000	0.000000
